study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB8308	SAMEA3218657	ERS645165	ERX1495232	ERR1424650	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424650/ERR1424650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424650/ERR1424650_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424650/ERR1424650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424650/ERR1424650_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1424650	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1424650		
PRJEB8308	SAMEA3218660	ERS645168	ERX1495233	ERR1424651	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424651/ERR1424651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424651/ERR1424651_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424651/ERR1424651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424651/ERR1424651_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1424651	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1424651		
PRJEB8308	SAMEA3218667	ERS645175	ERX1495234	ERR1424652	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424652/ERR1424652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424652/ERR1424652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424652/ERR1424652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424652/ERR1424652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A04.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A04.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A04.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_A04.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1424652	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1424652		
PRJEB8308	SAMEA3218661	ERS645169	ERX1495235	ERR1424653	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424653/ERR1424653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424653/ERR1424653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424653/ERR1424653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424653/ERR1424653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1424653	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1424653		
PRJEB8308	SAMEA3218663	ERS645171	ERX1495236	ERR1424654	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424654/ERR1424654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424654/ERR1424654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424654/ERR1424654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424654/ERR1424654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_B03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1424654	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1424654		
PRJEB8308	SAMEA3218665	ERS645173	ERX1495237	ERR1424655	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424655/ERR1424655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424655/ERR1424655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424655/ERR1424655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424655/ERR1424655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1424655	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1424655		
PRJEB8308	SAMEA3218675	ERS645183	ERX1495238	ERR1424656	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424656/ERR1424656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424656/ERR1424656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424656/ERR1424656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424656/ERR1424656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_C03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1424656	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1424656		
PRJEB8308	SAMEA3218677	ERS645185	ERX1495239	ERR1424657	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424657/ERR1424657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424657/ERR1424657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424657/ERR1424657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424657/ERR1424657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1424657	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1424657		
PRJEB8308	SAMEA3218681	ERS645189	ERX1495240	ERR1424658	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424658/ERR1424658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424658/ERR1424658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424658/ERR1424658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424658/ERR1424658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_D03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1424658	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1424658		
PRJEB8308	SAMEA3218644	ERS645152	ERX1495241	ERR1424659	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424659/ERR1424659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424659/ERR1424659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424659/ERR1424659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424659/ERR1424659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1424659	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1424659		
