gene start end chr chrnum id length
CYP4B1 47264669 47285021 chr1 1 1:47264669-47285021 20353
CYP4A11 47394845 47407156 chr1 1 1:47394845-47407156 12312
CYP4Z1 47533159 47583992 chr1 1 1:47533159-47583992 50834
CYP2J2 60358979 60392423 chr1 1 1:60358979-60392423 33445
CYP26C1 94821020 94828454 chr10 10 10:94821020-94828454 7435
CYP26A1 94833231 94837641 chr10 10 10:94833231-94837641 4411
CYP2C18 96443250 96495947 chr10 10 10:96443250-96495947 52698
CYP2C19 96447881 96612671 chr10 10 10:96447881-96612671 164791
CYP2C9 96698414 96749148 chr10 10 10:96698414-96749148 50735
CYP2C8 96796528 96829254 chr10 10 10:96796528-96829254 32727
CYP17A1 104590287 104597290 chr10 10 10:104590287-104597290 7004
CYP2E1 135340866 135374724 chr10 10 10:135340866-135374724 33859
CYP27B1 58156116 58160976 chr12 12 12:58156116-58160976 4861
CYP46A1 100150754 100193638 chr14 14 14:100150754-100193638 42885
CYP19A1 51500253 51630795 chr15 15 15:51500253-51630795 130543
CYP11A1 74630102 74660081 chr15 15 15:74630102-74660081 29980
CYP1A1 75011882 75017877 chr15 15 15:75011882-75017877 5996
CYP1A2 75041183 75048941 chr15 15 15:75041183-75048941 7759
CYP4F8 15726028 15740447 chr19 19 19:15726028-15740447 14420
CYP4F3 15751706 15771570 chr19 19 19:15751706-15771570 19865
CYP4F12 15783827 15807984 chr19 19 19:15783827-15807984 24158
CYP4F2 15988833 16008884 chr19 19 19:15988833-16008884 20052
CYP4F11 16023179 16045676 chr19 19 19:16023179-16045676 22498
CYP2A6 41349442 41356352 chr19 19 19:41349442-41356352 6911
CYP2A7 41381343 41534168 chr19 19 19:41381343-41534168 152826
CYP2B7P1 41430169 41456565 chr19 19 19:41430169-41456565 26397
CYP2B6 41497203 41524301 chr19 19 19:41497203-41524301 27099
CYP2A13 41594355 41602100 chr19 19 19:41594355-41602100 7746
CYP2F1 41620352 41634281 chr19 19 19:41620352-41634281 13930
CYP2S1 41699114 41713444 chr19 19 19:41699114-41713444 14331
CYP1B1 38294745 38303323 chr2 2 2:38294745-38303323 8579
CYP20A1 204103163 204170563 chr2 2 2:204103163-204170563 67401
CYP27A1 219646471 219680016 chr2 2 2:219646471-219680016 33546
CYP24A1 52769987 52790516 chr20 20 20:52769987-52790516 20530
CYP2D6 42522500 42526883 chr22 22 22:42522500-42526883 4384
CYP8B1 42913683 42917633 chr3 3 3:42913683-42917633 3951
CYP21A2 31973358 32009447 chr6 6 6:31973358-32009447 36090
CYP21A1P 31973358 31976712 chr6 6 6:31973358-31976712 3355
CYP39A1 46517444 46620523 chr6 6 6:46517444-46620523 103080
CYP51A1 91741462 91808845 chr7 7 7:91741462-91808845 67384
CYP3A5 99245812 99332819 chr7 7 7:99245812-99332819 87008
CYP3A7-CYP3AP1 99282301 99332819 chr7 7 7:99282301-99332819 50519
CYP3A7 99302659 99332819 chr7 7 7:99302659-99332819 30161
CYP3A4 99354582 99381811 chr7 7 7:99354582-99381811 27230
CYP3A43 99425635 99464173 chr7 7 7:99425635-99464173 38539
CYP7A1 59402736 59412720 chr8 8 8:59402736-59412720 9985
CYP7B1 65508528 65711348 chr8 8 8:65508528-65711348 202821
CYP11B1 143953772 143961236 chr8 8 8:143953772-143961236 7465
CYP11B2 143991974 143999259 chr8 8 8:143991974-143999259 7286
